Country,Fertility,Year,Value,Development,longitude,latitude
Afghanistan,6.987500000000001,2012,1958.4476274792448,Developing,66.59216131095278,34.13402601376932
Albania,2.858,2012,10526.25010642064,Developing,20.061082767269493,41.14165894891656
Algeria,4.542,2012,13347.3627953184,Developed,2.655846471976913,28.350969744889056
Angola,6.44,2012,7389.314960187561,Developing,17.651768783079,-12.167424062667942
Antigua and Barbuda,2.222,2012,20208.93928767269,Developed,-61.78530823226373,17.07146759372967
Argentina,2.67,2012,19641.35286383472,Developed,-64.53238503843076,-35.697270518120085
Armenia,2.048,2012,9267.397005629648,Developing,45.05490831965259,40.17841274230679
Aruba,1.98,2012,34786.59399320629,Developed,-69.97564014284046,12.515625722992898
Australia,2.048,2012,42847.29674653109,Developed,134.02277170916162,-25.69733767398308
Austria,1.61,2012,46457.345777031136,Developed,13.797778364631036,47.631858269895794
Azerbaijan,2.7960000000000003,2012,15957.718850284937,Developed,48.63459267064432,40.3920509942049
Bahamas,2.424,2012,30169.90909439455,Developed,-78.07275370060313,24.72162633646784
Bahrain,3.782,2012,53778.48867408314,Developed,50.540695402276775,26.04798501537066
Bangladesh,3.8579999999999997,2012,3493.922821166417,Developing,90.43212562608612,23.673728665121
Barbados,2.06,2012,15726.235802934658,Developed,-59.557383949150285,13.183219369337529
Belarus,1.706,2012,18105.28671804441,Developed,27.964252054715104,53.46791374543163
Belgium,1.784,2012,42290.76205200192,Developed,4.675010154696485,50.6182138854095
Belize,4.6674999999999995,2012,9113.474853414273,Developing,-88.68273510023441,17.24252476647155
Benin,6.122,2012,2427.4326592231664,Developing,2.305714528830206,9.503013199615893
Bermuda,1.814,2012,67453.8205236015,Developed,-64.7458500599169,32.315067430740726
Bhutan,4.6725,2012,7697.506415469787,Developing,90.4671664717386,27.42163933959824
Bolivia,4.692,2012,5814.070134963481,Developing,-64.45209597511206,-16.7312488393574
Bosnia and Herzegovina,1.748,2012,10109.40068764732,Developing,17.83467240787538,44.14415356126429
Botswana,4.470000000000001,2012,12069.468767214848,Developed,23.85779956995608,-22.236609002062902
Brazil,2.982,2012,14994.343469398058,Developed,-54.35520660825642,-11.524630416426652
Bulgaria,1.634,2012,16327.85847089216,Developed,25.251739122561908,42.82043677302438
Burkina Faso,6.436,2012,1568.0668585350998,Developing,-1.6932816211842323,12.108709036312735
Burundi,6.35,2012,651.9523272821165,Developing,29.88518227845293,-3.261251993278643
Cambodia,4.576,2012,2867.537377093844,Developing,105.039730786807,12.699186865507777
Cameroon,5.412,2012,3022.3580113926423,Developing,12.948474142398265,6.294168487480992
Canada,1.754,2012,42290.96541027452,Developed,-98.41680517868062,57.55048004465564
Cayman Islands,2.29,2012,65118.44488776289,Developed,-81.25203208977878,19.311231805620288
Central African Republic,5.535,2012,1024.247562784916,Developing,20.520743419397256,6.331390033944319
Chad,5.93,2012,1734.843413563242,Developing,18.427113900363025,15.283493546654505
Chile,2.376,2012,21584.68126779391,Developed,-70.76863431739216,-37.82938283049967
China,2.552,2012,11168.69729797755,Developing,104.69113855849604,38.07325481105728
Colombia,3.0460000000000003,2012,12095.64849737016,Developed,-72.6445066243485,4.187753877352739
Comoros,5.3525,2012,2655.734874616639,Developing,43.34826587429403,-11.658861474508493
Congo,5.71,2012,6062.822776488102,Developing,14.879732849491392,-0.7294391595233845
Costa Rica,3.0100000000000002,2012,14174.602102943823,Developed,-84.14673625701816,9.863467407406214
Croatia,1.5939999999999999,2012,21463.732251045152,Developed,16.625761129583374,44.91192100856702
Cyprus,2.008,2012,31923.9375,Developed,33.375346009199205,35.11700416345239
Czechia,1.6320000000000001,2012,29254.73126851443,Developed,15.383273292023532,49.74917370930982
C̫te d'Ivoire,5.912,2012,3483.689788731952,Developing,-5.571710194917734,7.536779279421307
Congo DRC,6.708,2012,650.9215895688731,Developing,23.419827574282188,-3.338629596207896
Denmark,1.778,2012,44803.968242121424,Developed,9.378670542409406,56.00118817971057
Djibouti,5.09,2013,3730.366512303365,Developing,42.61349689878951,11.750235727618804
Dominica,3.092,2012,10245.14276213034,Developing,-61.360471946942994,15.429269860940511
Dominican Republic,3.626,2012,11781.886871509065,Developing,-70.43495198520012,18.77954818522993
Ecuador,3.8899999999999997,2012,10304.888997555194,Developing,-78.4630326109714,-1.5642721388853116
Egypt,3.9159999999999995,2012,10506.96810193048,Developing,30.240135435012338,26.60517034450628
El Salvador,3.842,2012,6622.574629321752,Developing,-88.85911489238985,13.758041517055418
Equatorial Guinea,5.582,2012,32457.550782110127,Developed,10.425456672353825,1.595464393659073
Eritrea,5.4399999999999995,2011,1628.7505090293662,Developing,39.2672401449901,15.005533147667684
Estonia,1.7600000000000002,2012,25996.04677795081,Developed,25.916870250633806,58.64810831123104
Ethiopia,5.662,2012,1191.4406223297071,Developing,39.91490288654428,8.729389557048396
Fiji,3.106,2012,8393.260797999696,Developing,177.98144613732626,-17.822470952336204
Finland,1.7920000000000003,2012,40873.095332606616,Developed,25.65738433454702,65.01578959749911
France,1.996,2012,37677.72679325869,Developed,2.1940236627886227,46.6423682169416
Gabon,4.63,2012,14628.615879421592,Developed,11.839410898545754,-0.628448459921234
Gambia,5.888,2012,2033.281001441892,Developing,-15.383380385869662,13.428617959189328
Georgia,1.9120000000000001,2012,9826.05275341086,Developing,43.37886653411224,42.17986277737226
Germany,1.472,2012,43359.61482717231,Developed,10.426171427430804,51.08304539800482
Ghana,5.268,2012,4877.582213833197,Developing,-1.219233362526581,7.94530467243628
Greece,1.6580000000000001,2012,24911.119631323963,Developed,23.11036893616188,39.42012261727978
Grenada,3.4175,2012,10348.998514141966,Developing,-61.67937937204098,12.112926656338908
Guatemala,4.798,2012,7204.732938078737,Developing,-90.31219349119615,15.820878515352684
Guinea,5.624,2012,1772.704930606208,Developing,-10.986948848040218,10.255986541378112
Guinea-Bissau,6.843333333333334,2012,1316.167570452007,Developing,-14.980186756910848,11.980075324820504
Guyana,3.2700000000000005,2012,10640.67256082004,Developing,-58.91352612754667,4.68211981385056
Haiti,4.8660000000000005,2012,2801.3504022268,Developing,-72.89291379842,18.883520486983567
Honduras,5.096,2012,3963.0157774771137,Developing,-86.49251679006962,14.740370695750006
Hungary,1.5699999999999998,2012,23267.44839290897,Developed,19.39620048366142,47.22527332486294
Iceland,2.21,2012,42004.44761105966,Developed,-19.05682967106099,65.12360920205514
India,3.668,2012,4827.945972802607,Developing,81.17300408530181,23.58630056774672
Indonesia,3.16,2012,9645.14919678524,Developing,113.96538246847302,0.1559197995903765
Iran,4.093999999999999,2012,16757.192074573763,Developed,54.23707700106544,32.906023742890056
Iraq,5.064,2012,14279.265153654173,Developed,43.83252918105688,33.105075667527906
Ireland,2.446,2012,46388.57961204468,Developed,-8.241128545554096,53.30489539816495
Israel,3.156,2012,32322.693523719856,Developed,35.027923472437024,31.513542220043195
Italy,1.548,2012,36486.296787030224,Developed,12.763657166123137,42.98201127614267
Jamaica,3.008,2012,8431.375117010293,Developing,-77.30358894542778,18.12207889341651
Japan,1.558,2012,37605.97426145393,Developed,137.46934234351835,36.76738832597829
Jordan,4.997999999999999,2012,10308.043946942502,Developing,36.95728884547246,31.38706488444916
Kazakhstan,2.6559999999999997,2012,22032.174543685287,Developed,66.3759193479301,47.64146519517684
Kenya,5.764,2012,2870.680260780712,Developing,37.95309411262371,0.6899182318376179
Kiribati,4.1979999999999995,2012,1747.7782168911815,Developing,-157.39024189323504,1.8676673749241064
Kuwait,3.9240000000000004,2012,81564.63330439053,Developed,47.56311109320184,29.28136096544309
Kyrgyzstan,3.6079999999999997,2012,3618.149725765328,Developing,74.17532903468319,41.35698905438358
Laos,5.337999999999999,2012,4793.8328994953945,Developing,103.76375899026448,18.11728273687328
Latvia,1.59,2012,21290.459587899997,Developed,24.693671325654403,56.81385304755416
Lebanon,2.996,2012,15840.895779351897,Developed,35.89651946324749,33.91160170722086
Lesotho,4.544,2012,2264.283613564024,Developing,28.24475317864227,-29.60168116924817
Liberia,6.08,2012,1149.9936161916603,Developing,-9.258988935497618,6.52012979398834
Libya,4.5200000000000005,2012,29393.276942458317,Developed,17.91133392454237,27.202915771690797
Lithuania,1.7600000000000002,2012,24703.68582025017,Developed,23.94602160501353,55.29437393417175
Luxembourg,1.666,2012,96636.426643956,Developed,6.103230338458876,49.77523454542369
Madagascar,5.8420000000000005,2012,1489.631498032083,Developing,46.68493466832544,-19.04163612493041
Malawi,6.465999999999999,2012,1486.909319122671,Developing,34.23441182298881,-13.128986464184024
Malaysia,3.318,2012,22527.001049757248,Developed,114.63330303992868,3.6716608556387857
Maldives,4.13,2012,14033.128108087873,Developed,73.10076245140479,-0.6065577168009924
Mali,6.758,2012,1706.679102073679,Developing,-4.346399841781153,17.168146208584837
Malta,1.7,2012,30243.98320486192,Developed,14.441922442508494,35.890522650899314
Marshall Islands,5.034000000000001,2012,3520.9373932241438,Developing,168.72016025351076,7.307929900994344
Mauritania,5.018,2012,4344.632168060525,Developing,-10.495079045035716,20.466731212820022
Mauritius,2.302,2012,17191.910088786015,Developed,57.56415671066546,-20.28142317475198
Mexico,3.992,2012,17388.03521370338,Developed,-101.55399731630118,23.87436068093592
Mongolia,4.034000000000001,2012,10346.014882696623,Developing,103.3987360327455,47.08644454604851
Montenegro,1.9920000000000002,2012,13863.883660418094,Developed,19.29505087156758,42.73694835210454
Morocco,3.9799999999999995,2012,7280.837890625,Developing,-8.817212587250811,28.687598134979325
Mozambique,5.962000000000001,2012,1051.3829114107589,Developing,35.208577031290176,-17.525230309488748
Myanmar,3.16,2012,3631.575332563909,Developing,97.08892285397344,19.901227931399877
Namibia,4.308,2012,9458.791172852523,Developing,18.16451345845268,-21.90858163281473
Nauru,3.9560000000000004,2012,8465.943071346332,Developing,166.92937633139178,-0.5221021440668993
Nepal,4.356,2012,2474.083549926203,Developing,84.1338898313567,28.300920699755657
Netherlands,1.8240000000000003,2012,47272.10301879716,Developed,5.554136426128487,52.134054128923886
New Zealand,2.222,2012,32988.60975976132,Developed,170.69035541428696,-43.82765432544426
Nicaragua,4.268,2012,4392.628883387467,Developing,-85.016088327669,12.893566631930554
Niger,7.176,2012,1148.3953427256265,Developing,8.86863247002646,17.08105392407292
Nigeria,6.1775,2012,4899.529196481081,Developing,8.147714845256194,9.61029352034213
Norway,1.9739999999999998,2012,65774.35207462238,Developed,16.670259272390894,64.97775882947745
Oman,5.115,2012,50308.46282180684,Developed,55.841088119829,20.7242833183209
Pakistan,5.247999999999999,2012,4189.26856322137,Developing,69.08835090769651,30.11618837141088
Palau,3.2659999999999996,2012,15334.541620636188,Developed,134.57965086721052,7.534775852547396
Panama,3.156,2012,19441.13066149061,Developed,-80.14428761482796,8.439536749576892
Papua New Guinea,5.364,2012,3046.783671444856,Developing,144.8348942994695,-7.156912819152135
Paraguay,4.058,2012,10861.360231303082,Developing,-58.38906357428651,-23.42190559259428
Peru,3.782,2012,10679.797751031494,Developing,-74.11416196781884,-8.522717984240291
Philippines,4.168,2012,6244.177924303491,Developing,121.82208941416744,15.586542251094242
Poland,1.7399999999999998,2012,23589.14757432886,Developed,19.43573279234468,52.06848055692473
Portugal,1.802,2012,26438.016301997348,Developed,-7.933662183874006,39.67529214702138
Puerto Rico,2.202,2012,32582.62240821057,Developed,-66.49425339593509,18.216224086610914
Qatar,3.3659999999999997,2012,163219.4919900088,Developed,51.19794918743203,25.318528486425382
South Korea,2.008,2012,33557.128719643435,Developed,127.76224551357647,36.402386712544114
Romania,1.828,2012,19809.187509160696,Developed,25.09415820156329,45.82454894397586
Russia,1.65,2012,24303.47265625,Developed,98.6704990698032,59.039434214106194
Rwanda,6.604000000000001,2012,1449.602430370234,Developing,29.91943968176408,-2.014687460047154
Saint Kitts and Nevis,2.95,2012,23159.654358133317,Developed,-62.74560385895787,17.314736299587768
Saint Lucia,3.348,2012,13288.892936000517,Developed,-60.9689510935251,13.895749185129906
Saint Vincent and the Grenadines,3.194,2012,11052.908566157052,Developing,-61.19376635439304,13.254808122970651
Samoa,5.401999999999999,2012,5295.363087887821,Developing,-172.44107655740137,-13.634252953274622
San Marino,1.46,2012,52759.38333852758,Developed,12.461278349581722,43.942820729097896
Saudi Arabia,4.558,2012,54696.215299765776,Developed,44.6009581782256,24.136038144757897
Senegal,5.744,2012,2774.647023557562,Developing,-14.610875368352303,14.228861491763402
Serbia,1.8240000000000003,2012,13933.83061810575,Developed,20.85677444395745,44.02679870131969
Seychelles,3.18,2012,22183.479310969386,Developed,55.47250789595527,-4.660002318822744
Sierra Leone,6.116,2012,1385.227366821375,Developing,-11.78656695731115,8.561330384750587
Singapore,1.802,2012,82064.96119108364,Developed,103.81025757634052,1.3528251890006349
Slovakia,1.732,2012,26994.057749634438,Developed,19.58101536249097,48.69808390520484
Slovenia,1.6019999999999999,2012,29042.82027296413,Developed,14.89063689997378,46.13759229564504
Solomon Islands,5.442,2012,2344.6579490228005,Developing,160.16475795033884,-9.613104734596517
Somalia,7.306,2013,824.8161327652705,Developing,45.40037867243972,6.524534573103924
South Africa,3.56,2012,13138.029852918016,Developed,24.75252746489084,-28.55361930679731
South Sudan,3.83,2012,1435.6792329042803,Developing,30.3851856901788,7.657782041763295
Spain,1.674,2012,31720.273815697223,Developed,-3.6516251409956975,40.36500833668384
Sri Lanka,2.686,2012,10319.396163695614,Developing,80.66931169770622,7.696630939329944
Sudan,4.846,2012,3917.82055664063,Developing,29.951458283594064,15.67060230984256
Suriname,3.092,2012,15308.156935428771,Developed,-55.855514311561286,4.098723595920171
Eswatini,4.754,2012,8027.305488282402,Developing,31.510685746082007,-26.562540935608705
Sweden,1.832,2012,45432.43196927608,Developed,17.062431988004956,62.73420986108448
Switzerland,1.6179999999999999,2012,59440.91586076658,Developed,8.286928794895285,46.73678128684938
Tajikistan,4.402,2012,2722.1670055884874,Developing,70.94215281065698,38.56933138382972
Thailand,2.6580000000000004,2012,14586.906620366604,Developed,101.08675116214552,13.66222784745538
North Macedonia,2.054,2012,11915.658550617734,Developing,21.70998923872772,41.59402890143112
Timor-Leste,5.555999999999999,2012,2335.9091599212247,Developing,125.9502404956266,-8.809894630601962
Togo,5.77,2012,1630.815193117099,Developing,0.8990857571109684,8.660743037717811
Tonga,4.632,2012,4994.812565908512,Developing,-175.20415878511247,-21.15927212823853
Trinidad and Tobago,2.352,2012,29755.40686174896,Developed,-61.37236579976247,10.415515638298093
Tunisia,3.446,2012,10416.946439285388,Developing,9.65587551697984,34.08636179565723
Turkey,3.048,2012,20599.64838325208,Developed,35.56886764076691,38.93207363123396
Turkmenistan,3.7359999999999998,2012,11635.794621768928,Developing,58.4577357627054,39.06069118001429
Turks and Caicos Islands,1.43,2012,20573.44595073067,Developed,-71.74058946811508,21.799865427483745
Tuvalu,3.3880000000000003,2012,3144.9117773766043,Developing,179.217833977593,-8.514701506447222
Uganda,6.846000000000001,2012,2030.6509578200037,Developing,32.34371768463123,1.2821729218416205
Ukraine,1.6775,2012,9705.3583984375,Developing,31.27377208442636,48.657532515563794
United Arab Emirates,3.1725,2012,74853.57509866531,Developed,54.27920525789581,24.18250292309135
United Kingdom,1.9240000000000002,2012,38332.48150910716,Developed,-2.852943909329258,53.97844735080214
Tanzania,6.104,2012,2067.2216796875,Developing,34.81832206060381,-6.355794440041147
United States,2.084,2012,51784.41857388373,Developed,-96.3316166082964,38.8208089190304
Uruguay,2.334,2012,19290.293446457443,Developed,-56.01919523458085,-32.78195043831093
Uzbekistan,3.7299999999999995,2012,6061.947153883581,Developing,63.8548297593985,41.4879065244633
Vanuatu,5.7475,2012,2741.5025185240806,Developing,166.84912735669738,-15.189132121699332
Venezuela,3.4799999999999995,2011,17402.275658657138,Developed,-66.36492135985132,7.148324760507107
Vietnam,3.4240000000000004,2012,6364.978023440316,Developing,105.91338832758704,16.517347170839393
Yemen,6.798,2012,3258.1926777230256,Developing,47.46815793206386,16.001392616307445
Zambia,6.244,2012,3357.7383714339417,Developing,27.75521363430896,-13.162832953186246
Zimbabwe,4.8100000000000005,2012,2349.028207000452,Developing,29.717829640720844,-18.92700121981475
